,Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
1129,17,1.621246337890625e-05,212.9707983649687,2019-01-10 17:00:00,2019-01-10,Thursday,0,4.3,3.79,30.698589743589743,139.693310691757
1130,8,10.0,39.1597349036291,2019-01-11 08:00:00,2019-01-11,Friday,0,4.3,3.79,7.930641000000001,70.30594097949103
1131,9,0.0,103.83435132091309,2019-01-11 09:00:00,2019-01-11,Friday,0,4.3,3.79,10.78589743602564,151.26887977412215
1132,10,10.0,103.13546153017198,2019-01-11 10:00:00,2019-01-11,Friday,0,4.3,3.79,18.938846153846157,115.51503581246736
1133,11,8.039886474609375,142.7065832182902,2019-01-11 11:00:00,2019-01-11,Friday,0,4.3,3.79,22.847948717948714,237.69231968702115
1134,12,0.013972282409667969,218.39463994625683,2019-01-11 12:00:00,2019-01-11,Friday,0,4.3,3.79,26.524358974358968,165.49849574135175
1135,13,10.0,193.43035379351966,2019-01-11 13:00:00,2019-01-11,Friday,0,4.3,3.79,24.31500001282052,263.0612971548206
1136,14,10.0,345.850738710855,2019-01-11 14:00:00,2019-01-11,Friday,0,4.3,3.79,25.474807807692304,394.87631365994207
1137,15,10.0,273.6632778845364,2019-01-11 15:00:00,2019-01-11,Friday,0,4.3,3.79,26.893204987179484,354.90063156026565
1138,16,0.0,283.44747487805057,2019-01-11 16:00:00,2019-01-11,Friday,0,4.3,3.79,26.57064103846153,313.4150970887396
1139,17,1.9163272380828853,127.52022002544427,2019-01-11 17:00:00,2019-01-11,Friday,0,4.3,3.79,26.405970256410257,189.9115723041248
1140,8,1.430511474609375e-06,73.09400692736297,2019-01-12 08:00:00,2019-01-12,Saturday,0,4.3,3.79,6.560512782179488,70.70063135540754
1141,9,0.0,116.34611221093613,2019-01-12 09:00:00,2019-01-12,Saturday,0,4.3,3.79,6.4612820769230765,139.54877959340322
1142,10,10.0,84.22588144197098,2019-01-12 10:00:00,2019-01-12,Saturday,0,4.3,3.79,6.5220512948717975,111.00469977626707
1143,11,0.10670995712280272,249.01122888449817,2019-01-12 11:00:00,2019-01-12,Saturday,0,4.3,3.79,7.012564089743588,208.75336391243388
1144,12,0.6257305145263672,186.67615770796527,2019-01-12 12:00:00,2019-01-12,Saturday,0,4.3,3.79,10.323203846153849,80.25052323853454
1145,13,5.7697296142578125e-05,306.74200761919985,2019-01-12 13:00:00,2019-01-12,Saturday,0,4.3,3.79,8.487565384615385,249.20318500613232
1146,14,10.0,362.825556066478,2019-01-12 14:00:00,2019-01-12,Saturday,0,4.3,3.79,10.878719089743589,371.8355137374179
1147,15,0.0,406.732294017113,2019-01-12 15:00:00,2019-01-12,Saturday,0,4.3,3.79,10.176409115384617,328.6302278571684
1148,16,0.0,277.6347468104649,2019-01-12 16:00:00,2019-01-12,Saturday,0,4.3,3.79,11.0275641025641,308.0386270891127
1149,17,0.0,153.82555120128757,2019-01-12 17:00:00,2019-01-12,Saturday,0,4.3,3.79,11.056923076923082,171.4514169462453
1150,8,6.1526780128479,33.23015919492484,2019-01-13 08:00:00,2019-01-13,Sunday,0,4.3,3.79,6.526794897435898,46.90645087891907
1151,9,0.0,127.34755503672815,2019-01-13 09:00:00,2019-01-13,Sunday,0,4.3,3.79,6.1715384615384625,142.67419392933172
1152,10,10.0,97.86573529934216,2019-01-13 10:00:00,2019-01-13,Sunday,0,4.3,3.79,6.655641012820514,103.2774809203835
1153,11,5.221193313598633,200.84617202000638,2019-01-13 11:00:00,2019-01-13,Sunday,0,4.3,3.79,6.773974371794873,197.04767595747845
1154,12,0.0001373291015625,222.78120329443828,2019-01-13 12:00:00,2019-01-13,Sunday,0,4.3,3.79,7.644743602564103,139.9475479835086
1155,13,9.999122619628906,182.9427647102821,2019-01-13 13:00:00,2019-01-13,Sunday,0,4.3,3.79,7.025129461538459,189.52806545032846
1156,14,10.0,370.82644925368413,2019-01-13 14:00:00,2019-01-13,Sunday,0,4.3,3.79,7.214229512820514,361.5327459678031
1157,15,10.0,274.06634130864535,2019-01-13 15:00:00,2019-01-13,Sunday,0,4.3,3.79,7.133589743589742,305.27680933972215
1158,16,0.0,290.65698789822983,2019-01-13 16:00:00,2019-01-13,Sunday,0,4.3,3.79,5.554230756410253,297.6108515408534
1159,17,4.76837158203125e-07,169.83230820854075,2019-01-13 17:00:00,2019-01-13,Sunday,0,4.3,3.79,7.786860256410253,170.00149696895252
1160,8,6.67572021484375e-06,67.4146920883996,2019-01-14 08:00:00,2019-01-14,Monday,0,4.3,0.75,5.949807653846152,73.78559215880206
1161,9,0.0,120.84979982600905,2019-01-14 09:00:00,2019-01-14,Monday,0,4.3,0.75,11.048076935897436,141.0604981896011
1162,10,10.0,110.95816584754739,2019-01-14 10:00:00,2019-01-14,Monday,0,4.3,0.75,20.65320498717949,118.86308753333958
1163,11,0.6869430541992188,247.70700249942712,2019-01-14 11:00:00,2019-01-14,Monday,0,4.3,0.75,27.247948717948717,203.3250761347809
1164,12,9.99466037750244,94.9933813796532,2019-01-14 12:00:00,2019-01-14,Monday,0,4.3,0.75,28.968846038461532,182.99486083149228
1165,13,0.0,316.02539844321063,2019-01-14 13:00:00,2019-01-14,Monday,0,4.3,0.75,26.78608985897436,202.00877373853803
1166,14,10.0,377.4588474996608,2019-01-14 14:00:00,2019-01-14,Monday,0,4.3,0.75,26.64153858974359,395.71963772994064
1167,15,0.0,404.9793063725866,2019-01-14 15:00:00,2019-01-14,Monday,0,4.3,0.75,27.686538461538454,386.2046653173394
1168,16,0.0,283.67512952259733,2019-01-14 16:00:00,2019-01-14,Monday,0,4.3,0.75,29.074935897435893,310.8569904311117
1169,17,0.0,169.57918773839856,2019-01-14 17:00:00,2019-01-14,Monday,0,4.3,0.75,30.39,177.44027027295851
1170,8,9.999984741210938,91.60385696909883,2019-01-15 08:00:00,2019-01-15,Tuesday,0,4.3,0.75,9.958076923076923,47.79977790883003
1171,9,0.0,221.63665530958886,2019-01-15 09:00:00,2019-01-15,Tuesday,0,4.3,0.75,14.314487166666664,115.11092034680505
1172,10,10.0,199.73629327265854,2019-01-15 10:00:00,2019-01-15,Tuesday,0,4.3,0.75,32.51307691025641,92.93334590240342
