Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
16,0.0,255.8308366134927,2021-04-20 16:00:00,2021-04-20,Tuesday,0,2.53,4.48,32.231666794871806,338.5563106225632
17,1.0214602947235107,107.25520509437159,2021-04-20 17:00:00,2021-04-20,Tuesday,0,2.53,4.48,32.26346153846155,115.98105653255529
8,5.603104114532472,82.8755791342624,2021-04-21 08:00:00,2021-04-21,Wednesday,0,2.53,4.48,10.682692269358972,86.79509858191288
9,0.0,149.61614153262371,2021-04-21 09:00:00,2021-04-21,Wednesday,0,2.53,4.48,13.7728205,130.92899406704956
10,10.0,112.8553509247604,2021-04-21 10:00:00,2021-04-21,Wednesday,0,2.53,4.48,23.574230782051284,111.99114253012355
11,1.455528736114502,288.1079007447826,2021-04-21 11:00:00,2021-04-21,Wednesday,0,2.53,4.48,28.296410397435903,258.2359876235028
12,0.0,241.7131966005953,2021-04-21 12:00:00,2021-04-21,Wednesday,0,2.53,4.48,27.889871641025646,175.37419898637165
13,9.999239921569824,208.36963726639908,2021-04-21 13:00:00,2021-04-21,Wednesday,0,2.53,4.48,30.102948858974358,200.1040215900366
14,0.01965808868408203,444.19881814320894,2021-04-21 14:00:00,2021-04-21,Wednesday,0,2.53,4.48,28.945896025641034,397.38216469567124
15,10.0,301.47185317177525,2021-04-21 15:00:00,2021-04-21,Wednesday,0,2.53,4.48,30.784873076923077,357.95978916208924
16,0.0,310.6799927983603,2021-04-21 16:00:00,2021-04-21,Wednesday,0,2.53,4.48,28.578076923076917,277.42651521624697
17,1.4781951904296875e-05,183.31582067798217,2021-04-21 17:00:00,2021-04-21,Wednesday,0,2.53,4.48,33.72666666666667,164.00687609452163
8,0.14695119857788086,69.34778172650257,2021-04-22 08:00:00,2021-04-22,Thursday,0,2.53,4.48,8.531474358974357,79.89110185096996
9,0.0,111.63702581741278,2021-04-22 09:00:00,2021-04-22,Thursday,0,2.53,4.48,11.331923076923076,132.58988822784474
10,10.0,86.92166575986667,2021-04-22 10:00:00,2021-04-22,Thursday,0,2.53,4.48,26.189486910256417,104.02560985163854
11,3.074559211730957,207.39528958270543,2021-04-22 11:00:00,2021-04-22,Thursday,0,2.53,4.48,29.64820411525641,232.67046586436413
12,9.757902145385742,90.50480139059867,2021-04-22 12:00:00,2021-04-22,Thursday,0,2.53,4.48,29.592628205128197,126.41490831729409
13,0.03875446319580078,308.3553242282109,2021-04-22 13:00:00,2021-04-22,Thursday,0,2.53,4.48,30.13596256410257,268.75471046625313
14,0.0,392.2270722232886,2021-04-22 14:00:00,2021-04-22,Thursday,0,2.53,4.48,30.004745256410256,380.73145060610915
15,2.7112886905670166,325.6656526877322,2021-04-22 15:00:00,2021-04-22,Thursday,0,2.53,4.48,34.311729487307694,276.64916439572556
16,0.0,260.963818514934,2021-04-22 16:00:00,2021-04-22,Thursday,0,2.53,4.48,31.939422948717947,272.49694959556695
17,2.86102294921875e-06,131.23228520926668,2021-04-22 17:00:00,2021-04-22,Thursday,0,2.53,4.48,30.698589743589746,100.65063698225337
8,7.011241912841798,68.31755195225615,2021-04-23 08:00:00,2021-04-23,Friday,0,2.53,4.48,7.930641000000001,48.2504131203292
9,0.0,157.4570011286424,2021-04-23 09:00:00,2021-04-23,Friday,0,2.53,4.48,10.78589743602564,90.79246149414367
10,10.0,112.22850234365723,2021-04-23 10:00:00,2021-04-23,Friday,0,2.53,4.48,18.938846153846153,68.84231259994952
11,0.2951550483703613,284.89380007565967,2021-04-23 11:00:00,2021-04-23,Friday,0,2.53,4.48,22.847948717948714,140.78319376316813
12,9.99991226196289,91.86778239622222,2021-04-23 12:00:00,2021-04-23,Friday,0,2.53,4.48,26.524358974358975,97.71743719386018
13,10.0,201.80310792731996,2021-04-23 13:00:00,2021-04-23,Friday,0,2.53,4.48,24.315000012820516,118.59979487806017
14,0.0,404.0690044987708,2021-04-23 14:00:00,2021-04-23,Friday,0,2.53,4.48,25.474807807692304,258.58855009314885
15,9.933940887451172,292.1405183897251,2021-04-23 15:00:00,2021-04-23,Friday,0,2.53,4.48,26.893204987179484,220.99120495264012
16,0.0,321.9356736686158,2021-04-23 16:00:00,2021-04-23,Friday,0,2.53,4.48,26.57064103846153,184.4459476521744
17,5.193148136138916,93.67146212468587,2021-04-23 17:00:00,2021-04-23,Friday,0,2.53,4.48,26.405970256410257,94.4610475497321
8,2.796936511993408,110.10347038477964,2021-04-24 08:00:00,2021-04-24,Saturday,0,2.53,4.48,6.5605127821794875,69.92788131081872
9,0.0,181.15870829607832,2021-04-24 09:00:00,2021-04-24,Saturday,0,2.53,4.48,6.4612820769230765,118.26787770737603
10,10.0,134.57336223600112,2021-04-24 10:00:00,2021-04-24,Saturday,0,2.53,4.48,6.5220512948717975,88.54352697740563
